alpha,fit_intercept,normalize,copy_X,max_iter,solver,accuracy
"[1e-05, 0.0001, 0.1, 1, 10, 20, 25, 30, 35, 50]","[True, False]","[False, True]","[True, False]","[1, 10]","['cholesky', 'svd', 'lsqr', 'sparse_cg']",prediction
0.1,True,False,True,1,sparse_cg,0.639044943820224
0.1,True,False,False,1,lsqr,0.639044943820224
0.1,True,False,False,1,sparse_cg,0.639044943820224
1,True,False,True,1,lsqr,0.639044943820224
1,True,False,True,1,sparse_cg,0.639044943820224
1,True,False,False,1,lsqr,0.639044943820224
1,True,False,False,1,sparse_cg,0.639044943820224
10,True,False,True,1,lsqr,0.639044943820224
10,True,False,True,1,sparse_cg,0.639044943820224
10,True,False,False,1,lsqr,0.639044943820224
10,True,False,False,1,sparse_cg,0.639044943820224
20,True,False,True,1,lsqr,0.639044943820224
20,True,False,True,1,sparse_cg,0.639044943820224
20,True,False,False,1,lsqr,0.639044943820224
20,True,False,False,1,sparse_cg,0.639044943820224
25,True,False,True,1,lsqr,0.639044943820224
25,True,False,True,1,sparse_cg,0.639044943820224
25,True,False,False,1,lsqr,0.639044943820224
25,True,False,False,1,sparse_cg,0.639044943820224
30,True,False,True,1,lsqr,0.639044943820224
30,True,False,True,1,sparse_cg,0.639044943820224
30,True,False,False,1,lsqr,0.639044943820224
30,True,False,False,1,sparse_cg,0.639044943820224
35,True,False,True,1,lsqr,0.639044943820224
35,True,False,True,1,sparse_cg,0.639044943820224
35,True,False,False,1,lsqr,0.639044943820224
35,True,False,False,1,sparse_cg,0.639044943820224
50,True,False,True,1,lsqr,0.639044943820224
50,True,False,True,1,sparse_cg,0.639044943820224
50,True,False,False,1,lsqr,0.639044943820224
50,True,False,False,1,sparse_cg,0.639044943820224
1e-05,False,False,True,1,lsqr,0.625
1e-05,False,False,True,1,sparse_cg,0.625
1e-05,False,True,True,1,lsqr,0.625
1e-05,False,True,True,1,sparse_cg,0.625
1e-05,False,False,False,1,lsqr,0.625
1e-05,False,False,False,1,sparse_cg,0.625
1e-05,False,True,False,1,lsqr,0.625
1e-05,False,True,False,1,sparse_cg,0.625
0.0001,False,False,True,1,lsqr,0.625
0.0001,False,False,True,1,sparse_cg,0.625
0.0001,False,True,True,1,lsqr,0.625
0.0001,False,True,True,1,sparse_cg,0.625
0.0001,False,False,False,1,lsqr,0.625
0.0001,False,False,False,1,sparse_cg,0.625
0.0001,False,True,False,1,lsqr,0.625
0.0001,False,True,False,1,sparse_cg,0.625
0.1,False,False,True,1,lsqr,0.625
0.1,False,False,True,1,sparse_cg,0.625
0.1,False,True,True,1,lsqr,0.625
0.1,False,True,True,1,sparse_cg,0.625
0.1,False,False,False,1,lsqr,0.625
0.1,False,False,False,1,sparse_cg,0.625
0.1,False,True,False,1,lsqr,0.625
0.1,False,True,False,1,sparse_cg,0.625
1,False,False,True,1,lsqr,0.625
1,False,False,True,1,sparse_cg,0.625
1,False,True,True,1,lsqr,0.625
1,False,True,True,1,sparse_cg,0.625
1,False,False,False,1,lsqr,0.625
1,False,False,False,1,sparse_cg,0.625
1,False,True,False,1,lsqr,0.625
1,False,True,False,1,sparse_cg,0.625
10,False,False,True,1,lsqr,0.625
10,False,False,True,1,sparse_cg,0.625
10,False,True,True,1,lsqr,0.625
10,False,True,True,1,sparse_cg,0.625
10,False,False,False,1,lsqr,0.625
10,False,False,False,1,sparse_cg,0.625
10,False,True,False,1,lsqr,0.625
10,False,True,False,1,sparse_cg,0.625
20,True,True,True,1,cholesky,0.625
20,True,True,True,1,svd,0.625
20,True,True,True,1,lsqr,0.625
20,True,True,True,1,sparse_cg,0.625
20,True,True,True,10,cholesky,0.625
20,True,True,True,10,svd,0.625
20,True,True,True,10,lsqr,0.625
20,True,True,True,10,sparse_cg,0.625
20,False,False,True,1,lsqr,0.625
20,False,False,True,1,sparse_cg,0.625
20,False,True,True,1,lsqr,0.625
20,False,True,True,1,sparse_cg,0.625
20,True,True,False,1,cholesky,0.625
20,True,True,False,1,svd,0.625
20,True,True,False,1,lsqr,0.625
20,True,True,False,1,sparse_cg,0.625
20,True,True,False,10,cholesky,0.625
20,True,True,False,10,svd,0.625
20,True,True,False,10,lsqr,0.625
20,True,True,False,10,sparse_cg,0.625
20,False,False,False,1,lsqr,0.625
20,False,False,False,1,sparse_cg,0.625
20,False,True,False,1,lsqr,0.625
20,False,True,False,1,sparse_cg,0.625
25,True,True,True,1,cholesky,0.625
25,True,True,True,1,svd,0.625
25,True,True,True,1,lsqr,0.625
25,True,True,True,1,sparse_cg,0.625
25,True,True,True,10,cholesky,0.625
25,True,True,True,10,svd,0.625
25,True,True,True,10,lsqr,0.625
25,True,True,True,10,sparse_cg,0.625
25,False,False,True,1,lsqr,0.625
25,False,False,True,1,sparse_cg,0.625
25,False,True,True,1,lsqr,0.625
25,False,True,True,1,sparse_cg,0.625
25,True,True,False,1,cholesky,0.625
25,True,True,False,1,svd,0.625
25,True,True,False,1,lsqr,0.625
25,True,True,False,1,sparse_cg,0.625
25,True,True,False,10,cholesky,0.625
25,True,True,False,10,svd,0.625
25,True,True,False,10,lsqr,0.625
25,True,True,False,10,sparse_cg,0.625
